,ID,repository_name,language
0,171339259,.github,
1,492978607,ads-advanced-tools-docs,Jupyter Notebook
2,674005216,ads-pao-amznjs-gtm-template,Smarty
3,41117941,alexa-coho,JavaScript
4,39471546,alexa-skills-kit-js,
5,495519526,amazon-ads-advertiser-audience-normalization-sdk-py,Python
6,61315875,amazon-advertising-api-php-sdk,PHP
7,429297502,amazon-codeguru-profiler-for-spark,Java
8,397426400,amazon-frustration-free-setup-certification-tool,Python
9,225431811,amazon-hub-counter-api-docs,CSS
10,211173772,amazon-hub-counter-api-samples,Java
11,211173264,amazon-hub-counter-sdk-java,Java
12,368813141,amazon-hub-support,PowerShell
13,36835292,amazon-instant-access-sdk-java,Java
14,52069282,amazon-instant-access-sdk-net,C#
15,36835278,amazon-instant-access-sdk-php,PHP
16,86101701,amazon-instant-access-sdk-ruby,Ruby
17,125078695,amazon-launcher-integration-cordova-plugin,JavaScript
18,602274745,amazon-marketing-stream-examples,Python
19,113228302,amazon-mcf-plugin-for-magento-1,PHP
20,595980124,amazon-multi-token-completion,Python
21,599063736,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
22,205034001,amazon-pay-api-sdk-dotnet,C#
23,204521054,amazon-pay-api-sdk-java,Java
24,258575735,amazon-pay-api-sdk-nodejs,JavaScript
25,194170466,amazon-pay-api-sdk-php,PHP
26,836089435,amazon-pay-api-sdk-ruby,Ruby
27,27617078,amazon-pay-sdk-csharp,C#
28,27605347,amazon-pay-sdk-java,Java
29,26331269,amazon-pay-sdk-php,PHP
30,29757348,amazon-pay-sdk-python,Python
31,29876251,amazon-pay-sdk-ruby,Ruby
32,33279165,amazon-pay-sdk-samples,PHP
33,285929660,amazon-payment-files-tools,Kotlin
34,59853598,amazon-payments-magento-2-plugin,PHP
35,331769873,amazon-ray,Python
36,186874528,amazon-s3-gst-plugin,C
37,608950917,amazon-sidewalk-android-samples,
38,608975226,amazon-sidewalk-ios-samples,Swift
39,465661586,amazon-succinct-doc-representation,Python
40,130394192,amazon-template-library,C++
41,382814124,amazon-weak-ner-needle,Python
42,369409385,amigitenough,Go
43,52391212,amzn-drivers,C
44,307377926,amzn-ec2-ena-utilities,Python
45,767280314,armbench,Python
46,506742955,auction-gym,Jupyter Notebook
47,713128516,augment-the-pairs-wacv2024,Python
48,114841384,autotrail,Python
49,313293017,aws-apigateway-client-lib,
50,499244448,aws-sigv4-signing-samples,Java
51,270739077,awsssmchaosrunner,Kotlin
52,220352818,basis-point-sets,Python
53,836161725,BayesPE,Python
54,667673014,buy-with-prime-automate-tenant-validation,JavaScript
55,710093232,buy-with-prime-cdk-constructs,TypeScript
56,690200875,buy-with-prime-event-accelerator,Python
57,719289017,buy-with-prime-monitoring-sample-cdk,TypeScript
58,656879040,buy-with-prime-oauth-handler-ec2,JavaScript
59,651706815,buy-with-prime-saas-integration,TypeScript
60,627019152,chalet-charging-location-for-electric-trucks,Python
61,239001393,computer-vision-basics-in-microsoft-excel,
62,515692801,confident-sinkhorn-allocation,Jupyter Notebook
63,268365774,convolutional-handwriting-gan,Python
64,438379479,cosearcher,Python
65,306709802,credence-to-causal-estimation,Python
66,494254989,data-jack-knife,Java
67,525540922,debiased-balanced-interleaving,Jupyter Notebook
